trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
44,EUR_GBP,bearish,2024-01-17 22:00:00+00:00,2024-01-25 22:00:00+00:00,0.8587101,0.8525608794190027,0.8634194655842985,0.8558844806494209,1.31,470.07,1,15,0
45,CAD_CHF,bearish,2024-01-18 22:00:00+00:00,2024-02-12 22:00:00+00:00,0.64574634,0.6525990971823393,0.6526655658303167,0.64159480450181,-0.99,-356.54,0,15,0
46,NZD_CAD,bullish,2024-01-18 22:00:00+00:00,2024-03-31 21:00:00+00:00,0.82234402,0.8087917163652654,0.8078289365139063,0.8310530700916562,-0.93,-336.12,0,14,0
47,EUR_CHF,bearish,2024-01-18 22:00:00+00:00,2024-01-29 22:00:00+00:00,0.94639436,0.9325978627798761,0.9563237096383098,0.9404367502170141,1.39,500.21,1,15,0
48,ETH_USD,bullish,2024-01-22 00:00:00+00:00,2024-02-16 00:00:00+00:00,2352.4704975585937,2879.583749328849,2153.1554685339224,2472.0595149733963,2.64,952.06,1,15,0
49,AUD_CHF,bullish,2024-01-23 22:00:00+00:00,2024-01-31 22:00:00+00:00,0.56877716,0.5614381460168082,0.5621881460168082,0.5727305683899151,-1.11,-400.98,0,15,0
50,AUD_CHF,bearish,2024-01-23 22:00:00+00:00,2024-02-15 22:00:00+00:00,0.56925696,0.575671457692234,0.5756792929843924,0.5654035602093647,-1.0,-359.56,0,15,0
51,AUD_CAD,bullish,2024-01-23 22:00:00+00:00,2024-01-31 22:00:00+00:00,0.88942,0.8778765974462935,0.8786265974462936,0.8958960415322238,-1.07,-385.02,0,15,0
52,CAD_JPY,bullish,2024-01-23 22:00:00+00:00,2024-02-11 22:00:00+00:00,109.083,111.43414418037648,107.42692888711503,110.07664266773098,1.42,511.1,1,15,0
53,GBP_CAD,bullish,2024-01-23 22:00:00+00:00,2024-01-29 22:00:00+00:00,1.7107684,1.7001315591809827,1.6995588299104112,1.7174941420537535,-0.95,-341.61,0,15,0
54,XAG_USD,bullish,2024-01-24 00:00:00+00:00,2024-03-05 00:00:00+00:00,22.7549991607666,24.029469362831318,21.879934176422086,23.28003815137331,1.46,524.31,1,14,0
55,XAG_USD,bullish,2024-01-25 00:00:00+00:00,2024-03-05 00:00:00+00:00,22.808000564575195,24.148181623990386,21.888081752687693,23.359951851707695,1.46,524.46,1,14,0
56,NZD_CHF,bearish,2024-01-25 22:00:00+00:00,2024-02-06 22:00:00+00:00,0.52933538,0.5334302521836325,0.5331277520902863,0.5270599567458283,-1.08,-388.72,0,15,0
