trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,lot_size,risk_usd,commission,gross_pnl,net_pnl,final_r,risk_pct_used,lot_multiplier,tp1_hit,tp2_hit,tp3_hit
USD_CHF_179,USD_CHF,bearish,2023-05-04 21:00:00,2023-05-17 14:00:00,0.8896221,0.89909,SL,0.67,963.44,2.68,-963.44,-966.12,-1.0,0.99,1.6500000000000001,False,False,False
AUD_NZD_196,AUD_NZD,bullish,2023-05-14 21:00:00,2023-05-22 05:00:00,1.07557088,1.05742,SL,0.54,973.05,2.16,-973.05,-975.2099999999999,-1.0,0.99,1.6500000000000001,False,False,False
AUD_NZD_197,AUD_NZD,bullish,2023-05-14 21:00:00,2023-05-22 05:00:00,1.07395,1.05742,SL,0.59,962.86,2.36,-962.86,-965.22,-1.0,0.99,1.6500000000000001,False,False,False
NZD_CHF_208,NZD_CHF,bearish,2023-05-23 21:00:00,2023-05-23 21:00:00,0.55207868,0.56319,SL,0.93,924.91,3.72,-924.91,-928.63,-1.0,0.99,1.6500000000000001,False,False,False
NZD_JPY_211,NZD_JPY,bullish,2023-05-23 21:00:00,2023-05-24 02:00:00,84.91215,85.568,TP2+Trail,0.01,1343.88,0.04,963.5619599999974,963.5219599999974,0.716999999999998,0.99,1.6500000000000001,True,True,False
AUD_NZD_214,AUD_NZD,bearish,2023-05-23 21:00:00,2023-05-24 02:00:00,1.06863638,1.0674,TP2+Trail,1.07,930.6,4.28,667.2402000000043,662.9602000000043,0.7170000000000045,0.99,1.6500000000000001,True,True,False
AUD_NZD_215,AUD_NZD,bearish,2023-05-23 21:00:00,2023-05-24 02:00:00,1.06784564,1.0674,TP1+Trail,0.98,924.61,3.92,194.1681,190.24810000000002,0.21,0.99,1.6500000000000001,True,False,False
NZD_JPY_213,NZD_JPY,bullish,2023-05-23 21:00:00,2023-05-24 05:00:00,85.213548,85.224,TP1+Trail,0.01,1642.02,0.04,344.82419999999996,344.78419999999994,0.21,0.99,1.6500000000000001,True,False,False
GBP_NZD_204,GBP_NZD,bullish,2023-05-23 21:00:00,2023-05-24 06:00:00,1.9932,2.0254,TP3,0.58,921.47,2.32,1247.67038,1245.35038,1.3539999999999999,0.99,1.6500000000000001,True,True,True
NZD_JPY_212,NZD_JPY,bullish,2023-05-23 21:00:00,2023-05-24 07:00:00,84.99504400000001,85.064,TP1+Trail,0.01,1425.33,0.04,299.3193,299.2793,0.21,0.99,1.6500000000000001,True,False,False
EUR_CHF_206,EUR_CHF,bearish,2023-05-23 21:00:00,2023-05-24 12:00:00,0.974199,0.97391,TP1+Trail,2.17,929.52,8.68,195.1992,186.51919999999998,0.21,0.99,1.6500000000000001,True,False,False
GBP_USD_195,GBP_USD,bullish,2023-05-11 21:00:00,2023-05-24 14:00:00,1.2493577,1.23674,SL,0.77,1019.17,3.08,-1019.17,-1022.25,-1.0,1.0398,1.733,False,False,False
AUD_JPY_209,AUD_JPY,bullish,2023-05-23 21:00:00,2023-05-24 14:00:00,90.824884,90.866,TP1+Trail,0.01,1137.22,0.04,238.8162,238.77620000000002,0.21,0.99,1.6500000000000001,True,False,False
GBP_NZD_203,GBP_NZD,bullish,2023-05-23 21:00:00,2023-05-25 05:00:00,1.99484728,2.02936,TP3,0.53,931.68,2.12,1261.49472,1259.37472,1.3539999999999999,0.99,1.6500000000000001,True,True,True
GBP_NZD_202,GBP_NZD,bullish,2023-05-23 21:00:00,2023-05-26 13:00:00,1.9984,2.0408,TP3,0.44,933.9,1.76,1264.5005999999998,1262.7405999999999,1.3539999999999999,0.99,1.6500000000000001,True,True,True
BTC_USD_217,BTC_USD,bearish,2023-05-24 00:00:00,2023-05-26 14:00:00,26864.985109375,26770.0,TP1+Trail,0.83,914.09,0.0,191.9589,191.9589,0.21,0.99,1.6500000000000001,True,False,False
BTC_USD_220,BTC_USD,bearish,2023-05-28 21:00:00,2023-05-28 22:00:00,26864.985109375,28107.8,SL,1.07,1175.38,0.0,-1175.38,-1175.38,-1.0,1.188,1.98,False,False,False
NAS100_USD_189,NAS100_USD,bullish,2023-05-10 00:00:00,2023-05-30 08:00:00,13289.299,14436.6,TP3,1.67,957.8,0.0,1296.8611999999998,1296.8611999999998,1.3539999999999999,0.99,1.6500000000000001,True,True,True
GBP_USD_210,GBP_USD,bearish,2023-05-23 21:00:00,2023-05-30 09:00:00,1.2465748600000002,1.24146,TP2+Trail,0.87,933.34,3.48,669.2047800000017,665.7247800000017,0.7170000000000019,0.99,1.6500000000000001,True,True,False
NZD_USD_194,NZD_USD,bearish,2023-05-11 21:00:00,2023-05-31 03:00:00,0.62280198,0.60035,TP3,0.91,1025.38,3.64,1388.36452,1384.72452,1.3539999999999999,1.0398,1.733,True,True,True
EUR_NZD_205,EUR_NZD,bullish,2023-05-23 21:00:00,2023-05-31 03:00:00,1.73461104,1.78196,TP3,0.39,939.82,1.56,1272.51628,1270.95628,1.3539999999999999,0.99,1.6500000000000001,True,True,True
BTC_USD_200,BTC_USD,bullish,2023-05-23 00:00:00,2023-05-31 04:00:00,27225.7265625,27266.2,TP1+Trail,0.54,936.87,0.0,196.74269999999999,196.74269999999999,0.21,0.99,1.6500000000000001,True,False,False
EUR_CHF_207,EUR_CHF,bearish,2023-05-23 21:00:00,2023-05-31 07:00:00,0.97304,0.97306,TP1+Trail,1.73,930.43,6.92,195.3903,188.4703,0.21,0.99,1.6500000000000001,True,False,False
EUR_CHF_224,EUR_CHF,bearish,2023-05-30 21:00:00,2023-05-31 13:00:00,0.974199,0.97388,TP1+Trail,2.59,1084.48,10.36,227.7408,217.38080000000002,0.21,1.089,1.815,True,False,False
CHF_JPY_198,CHF_JPY,bullish,2023-05-16 21:00:00,2023-05-31 14:00:00,152.81032,152.858,TP1+Trail,0.01,3170.49,0.04,665.8028999999999,665.7629,0.21,1.0398,1.733,True,False,False
XAU_USD_232,XAU_USD,bullish,2023-06-02 00:00:00,2023-06-02 13:00:00,1948.954,1963.55,TP2+Trail,0.45,1240.96,1.8,889.7683200000018,887.9683200000019,0.7170000000000014,1.188,1.98,True,True,False
GBP_AUD_230,GBP_AUD,bullish,2023-06-01 21:00:00,2023-06-02 14:00:00,1.88638284,1.8872,TP1+Trail,0.53,1227.98,2.12,257.87579999999997,255.75579999999997,0.21,1.188,1.98,True,False,False
EUR_AUD_216,EUR_AUD,bullish,2023-05-23 21:00:00,2023-06-02 16:00:00,1.64418382,1.61968,SL,0.37,925.22,1.48,-925.22,-926.7,-1.0,0.99,1.6500000000000001,False,False,False
GBP_AUD_229,GBP_AUD,bullish,2023-06-01 21:00:00,2023-06-02 16:00:00,1.88299068,1.88276,TP1+Trail,0.63,1231.07,2.52,258.5247,256.0047,0.21,1.188,1.98,True,False,False
EUR_AUD_231,EUR_AUD,bullish,2023-06-01 21:00:00,2023-06-02 16:00:00,1.63435442,1.61968,SL,0.83,1230.68,3.32,-1230.68,-1234.0,-1.0,1.188,1.98,False,False,False
XAU_USD_233,XAU_USD,bullish,2023-06-02 00:00:00,2023-06-02 16:00:00,1952.4000244140625,1952.3,TP1+Trail,0.39,1231.98,1.56,258.7158,257.1558,0.21,1.188,1.98,True,False,False
GBP_CAD_186,GBP_CAD,bullish,2023-05-07 21:00:00,2023-06-05 06:00:00,1.68710094,1.66726,SL,0.51,1011.78,2.04,-1011.78,-1013.8199999999999,-1.0,1.0398,1.733,False,False,False
EUR_GBP_221,EUR_GBP,bearish,2023-05-29 21:00:00,2023-06-05 14:00:00,0.86700064,0.86318,TP2+Trail,1.49,844.07,5.96,605.1981899999984,599.2381899999983,0.7169999999999981,0.8662,1.4436666666666667,True,True,False
BTC_USD_199,BTC_USD,bullish,2023-05-23 00:00:00,2023-06-05 16:00:00,27434.54473828125,25821.6,SL,0.48,935.91,0.0,-935.91,-935.91,-1.0,0.99,1.6500000000000001,False,False,False
BTC_USD_225,BTC_USD,bullish,2023-05-31 00:00:00,2023-06-05 16:00:00,27384.15804296875,25821.6,SL,0.58,1088.13,0.0,-1088.13,-1088.13,-1.0,1.089,1.815,False,False,False
BTC_USD_234,BTC_USD,bullish,2023-06-05 00:00:00,2023-06-05 16:00:00,26729.10389453125,25821.6,SL,0.87,1070.06,0.0,-1070.06,-1070.06,-1.0,1.0398,1.733,False,False,False
BTC_USD_235,BTC_USD,bullish,2023-06-05 00:00:00,2023-06-05 16:00:00,26819.97265625,25821.6,SL,0.81,1066.73,0.0,-1066.73,-1066.73,-1.0,1.0398,1.733,False,False,False
