date,balance,equity,daily_hwm,open_trades,trading_halted
2023-08-04,135034.3697337293,133737.2378643917,136235.21159819423,10,False
2023-08-06,135034.3697337293,134011.86139596943,135034.3697337293,10,False
2023-08-07,135034.3697337293,136853.6652803314,135034.3697337293,10,False
2023-08-08,132681.18673372932,135880.66260956504,136853.6652803314,7,False
2023-08-09,132681.18673372932,135147.5575782302,135880.66260956504,10,False
2023-08-10,132876.06733372933,137778.58018960856,135147.5575782302,9,False
2023-08-11,134153.25013372934,137600.05021653153,137778.58018960856,8,False
2023-08-13,134153.25013372934,137791.16158949622,137600.05021653153,10,False
2023-08-14,133079.10013372934,137858.96040511102,137791.16158949622,11,False
2023-08-15,133079.10013372934,137760.93471780856,137858.96040511102,11,False
2023-08-16,137990.55070372936,140056.9695507383,137760.93471780856,8,False
2023-08-17,141708.49526372936,141587.17090036455,140056.9695507383,8,False
2023-08-18,140270.79526372935,140506.45163827346,141708.49526372936,7,False
2023-08-20,140270.79526372935,139499.19236192582,140506.45163827346,9,False
2023-08-21,139038.23526372935,141435.41388529938,140270.79526372935,9,False
2023-08-22,140071.10435372934,143898.65571852998,141435.41388529938,14,False
2023-08-23,140359.27885372934,143513.40097170864,143898.65571852998,18,False
2023-08-24,143479.07230372934,146240.96731612348,143513.40097170864,19,False
2023-08-25,144871.15656372934,148026.62394708343,146240.96731612348,17,False
2023-08-27,144871.15656372934,148879.84129068893,148026.62394708343,18,False
2023-08-28,144871.15656372934,151218.47980172918,148879.84129068893,22,False
2023-08-29,145998.62472372933,153247.911116728,151218.47980172918,27,False
2023-08-30,146707.19947372933,158655.48264950613,153247.911116728,27,False
2023-08-31,156198.6006695205,156198.6006695205,156198.6006695205,0,True
2023-09-01,156198.6006695205,156198.6006695205,156198.6006695205,0,False
2023-09-03,156198.6006695205,155632.52175135253,156198.6006695205,2,False
2023-09-04,156198.6006695205,152744.75384378366,156198.6006695205,8,False
2023-09-05,156960.0825695205,158947.42849905696,156198.6006695205,7,False
2023-09-06,156960.0825695205,158275.71481225465,158947.42849905696,7,False
2023-09-07,156960.0825695205,159792.05942270823,158275.71481225465,12,False
2023-09-08,158660.0978695205,158191.64563951932,159792.05942270823,10,False
2023-09-10,158660.0978695205,156690.11070779568,158660.0978695205,13,False
2023-09-11,153059.15875821115,153059.15875821115,153059.15875821115,0,True
2023-09-12,153376.97905821115,153684.30318807927,153059.15875821115,3,False
2023-09-13,153376.97905821115,153870.65178297588,153684.30318807927,9,False
2023-09-14,153376.97905821115,152423.47239376503,153870.65178297588,9,False
2023-09-15,153376.97905821115,154293.6702113933,153376.97905821115,9,False
2023-09-17,153376.97905821115,154405.39917383678,154293.6702113933,9,False
2023-09-18,153376.97905821115,154281.0955046093,154405.39917383678,9,False
2023-09-19,154511.43894821114,154889.5967026258,154281.0955046093,9,False
2023-09-20,154511.43894821114,156869.52145635875,154889.5967026258,14,False
2023-09-21,157314.84362821112,156063.05721484887,156869.52145635875,13,False
2023-09-22,157990.50792821113,154527.90184528634,157314.84362821112,11,False
2023-09-24,157990.50792821113,155203.0183595045,157990.50792821113,11,False
2023-09-25,154623.49792821115,153024.73235760245,157990.50792821113,9,False
2023-09-26,154623.49792821115,153346.6021925277,154623.49792821115,9,False
2023-09-27,156772.91522821115,155672.4408492439,154623.49792821115,12,False
2023-09-28,158606.38083821116,155408.38959810918,156772.91522821115,15,False
2023-09-29,152853.7677507461,152853.7677507461,152853.7677507461,0,True
2023-10-01,152853.7677507461,153609.15864403665,152853.7677507461,5,False
2023-10-02,153084.9482507461,157547.16600454887,153609.15864403665,15,False
2023-10-03,154048.9717407461,155903.99522629648,157547.16600454887,11,False
2023-10-04,153979.8727607461,153576.90084360025,155903.99522629648,8,False
2023-10-05,152380.4327607461,148687.89863298694,153979.8727607461,12,False
2023-10-06,154993.7359907461,156187.48337994496,152380.4327607461,10,False
2023-10-08,155280.4341907461,154839.02511667495,156187.48337994496,15,False
2023-10-09,155951.4214907461,155984.27643899655,155280.4341907461,16,False
2023-10-10,156322.9396907461,158148.91358392953,155984.27643899655,21,False
2023-10-11,156689.2504907461,161296.97447100363,158148.91358392953,25,False
2023-10-12,155583.8588907461,163626.28571007642,161296.97447100363,27,False
2023-10-13,160969.9069507461,161974.35798242028,163626.28571007642,25,False
2023-10-15,160969.9069507461,162941.6560078333,161974.35798242028,25,False
2023-10-16,163489.68741074612,167868.838747098,162941.6560078333,27,False
2023-10-17,163870.5352107461,164613.56441574966,167868.838747098,28,False
2023-10-18,158241.01516074612,162237.41011877044,164613.56441574966,23,False
2023-10-19,156611.96516074613,162769.4792476367,162237.41011877044,22,False
2023-10-20,156611.96516074613,166600.1122154909,162769.4792476367,22,False
2023-10-22,156611.96516074613,166328.3087998144,166600.1122154909,22,False
2023-10-23,156611.96516074613,170350.0712023169,166328.3087998144,23,False
2023-10-24,167188.81148474588,167188.81148474588,167188.81148474588,0,True
2023-10-25,167188.81148474588,167538.09482143403,167188.81148474588,4,False
2023-10-26,167188.81148474588,166400.81305001618,167538.09482143403,5,False
2023-10-27,164879.8639847459,164879.8639847459,167188.81148474588,0,False
2023-10-29,164879.8639847459,167633.88982656505,164879.8639847459,4,False
2023-10-30,165246.8850847459,166856.16039648795,167633.88982656505,7,False
2023-10-31,166112.9904847459,168492.39947237278,166856.16039648795,7,False
2023-11-01,166888.77008474592,168957.40753698722,168492.39947237278,10,False
2023-11-02,167292.14198474592,172692.1101293899,168957.40753698722,17,False
2023-11-03,167650.7942641164,167650.7942641164,167650.7942641164,0,True
2023-11-05,167650.7942641164,167650.7942641164,167650.7942641164,0,False
2023-11-06,167650.7942641164,167650.7942641164,167650.7942641164,0,False
2023-11-07,167650.7942641164,167853.99314137362,167650.7942641164,1,False
2023-11-08,167650.7942641164,167975.59299545505,167853.99314137362,1,False
2023-11-09,167650.7942641164,168791.16833661837,167975.59299545505,2,False
2023-11-10,167650.7942641164,169287.31263585464,168791.16833661837,2,False
2023-11-12,167650.7942641164,168964.26024265654,169287.31263585464,2,False
2023-11-13,167650.7942641164,168730.9757107926,168964.26024265654,2,False
2023-11-14,171039.7070841164,171039.7070841164,168730.9757107926,0,False
2023-11-15,171039.7070841164,171039.7070841164,171039.7070841164,0,False
2023-11-16,171894.7745841164,171557.73273228653,171039.7070841164,1,False
2023-11-17,171894.7745841164,171670.02255245467,171894.7745841164,1,False
2023-11-19,171894.7745841164,172014.01700154835,171894.7745841164,1,False
2023-11-20,171894.7745841164,171635.25260813863,172014.01700154835,1,False
2023-11-21,171894.7745841164,170606.40425583685,171894.7745841164,1,False
2023-11-22,171894.7745841164,171112.5634452241,171894.7745841164,1,False
2023-11-23,171894.7745841164,170904.79877795873,171894.7745841164,1,False
2023-11-24,171894.7745841164,171894.7745841164,171894.7745841164,1,False
2023-11-26,171894.7745841164,170430.84453699534,171894.7745841164,1,False
2023-11-27,169848.72458411643,169848.72458411643,171894.7745841164,0,False
2023-11-28,169848.72458411643,169848.72458411643,169848.72458411643,0,False
2023-11-29,169848.72458411643,169848.72458411643,169848.72458411643,0,False
2023-11-30,169848.72458411643,169848.72458411643,169848.72458411643,0,False
2023-12-01,169848.72458411643,171307.10414816765,169848.72458411643,2,False
2023-12-03,169848.72458411643,171376.1446172508,171307.10414816765,2,False
2023-12-04,170201.83328411644,171048.4321156425,171376.1446172508,2,False
2023-12-05,173215.69588411643,172980.32051649454,171048.4321156425,4,False
2023-12-06,173215.69588411643,171205.28344181288,173215.69588411643,4,False
